project_id,source_url,license_type,redistribution_allowed,notes
1,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
2,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
3,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
4,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
5,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
6,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
7,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
8,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
9,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
10,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
11,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
12,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
13,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
14,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
15,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
16,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
17,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
18,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
19,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
20,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
21,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
22,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
23,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
24,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
25,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
26,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
27,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
28,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
29,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
30,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
31,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
32,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
33,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
34,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
35,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
36,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
37,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
38,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
39,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
40,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
41,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
42,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
43,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
44,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
45,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
46,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
47,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
48,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
49,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
50,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
51,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
52,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
53,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
54,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
55,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
56,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
57,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
58,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
59,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
60,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
61,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
62,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
63,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
64,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
65,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
66,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
67,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
68,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
69,unknown,CircuitDigest proprietary,no,Content is copyright CircuitDigest.com. Educational use only. No redistribution without permission. Source URL linked only.
